title,date,creators,source,subjects,source_url,trove_url
Transcript of joint press conference: Sydney: 29 March 2014: 100 days since the last successful people smuggling operation; Kirribilli House; MH370; Peter Greste,2014-03-29,"Abbott, Tony",PRIME MINISTER,100 days since the last successful people smuggling operation; Kirribilli House; MH370; Peter Greste,http://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22media/pressrel/3083322%22,"http://trove.nla.gov.au/version/211405925
"
Australia welcomes African refugees to their new home.,2005-01-18,"Vanstone, Amanda; Liberal Party of Australia",MINISTER FOR IMMIGRATION AND MULTICULTURAL AND INDIGENOUS AFFAIRS,Refugee and Humanitarian Program; Liberia; Sierra Leone; Refugees; Statistics,http://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22media/pressrel/3J1F6%22,"http://trove.nla.gov.au/version/211274403
"
Improved training for people working with refugees,1996-01-25,"Bolkus, Nick",MINISTER FOR IMMIGRATION AND ETHNIC AFFAIRS,,http://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22media/pressrel/PSP20%22,"http://trove.nla.gov.au/version/211448088
"
99 illegal boats in 99 days as Labor near new record of border failure,2012-09-25,"Keenan, Michael","SHADOW MINISTER FOR JUSTICE, CUSTOMS AND BORDER CONTROL",,http://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22media/pressrel/2733039%22,"http://trove.nla.gov.au/version/211382599
"
Three illegal boats in two days as Labor stalls their pacific solution,2013-04-03,"Keenan, Michael","SHADOW MINISTER FOR JUSTICE, CUSTOMS AND BORDER CONTROL",,http://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22media/pressrel/2721520%22,"http://trove.nla.gov.au/version/211392808
"
Transcript of doorstop interview: Cairns: 17 February 2011: [Scott Morrison; immigration],2011-02-17,"Gillard, Julia",PRIME MINISTER,Scott Morrison; immigration,http://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22media/pressrel/570400%22,"http://trove.nla.gov.au/version/211349577
"
Another boat after Abbott votes against offshore processing,2012-06-05,"Bowen, Chris",MINISTER FOR IMMIGRATION AND CITIZENSHIP,,http://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22media/pressrel/2273178%22,"http://trove.nla.gov.au/version/211374363
"
Another boat after Abbott votes against offshore processing,2012-06-05,"Bowen, Chris",MINISTER FOR IMMIGRATION AND CITIZENSHIP,,http://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22media/pressrel/1693231%22,"http://trove.nla.gov.au/version/211374417
"
Northern Territory celebrates Refugee Week 2011,2011-06-17,"Bowen, Chris",MINISTER FOR IMMIGRATION AND CITIZENSHIP,,http://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22media/pressrel/851432%22,"http://trove.nla.gov.au/version/211355996
"
China brings new poignancy to Refugee Week,1989-06-16,"Ruddock, Philip",Shadow Minister for Immigration and Ethnic Affairs,,http://parlinfo.aph.gov.au/parlInfo/search/display/display.w3p;query=Id%3A%22media/pressrel/HPR08018483%22,"http://trove.nla.gov.au/version/214060472
"
